Дані для розрахунку оберненої геодезичної задачі;;;;;;;
Джерело 1;;;;Джерело 2;;;
;Довгота;Широта;Висота;;Довгота;Широта;Висота
;31,303662;51,548504;257,081417;;31,3037072;51,5484973;244,7200012
;31,303971;51,548466;266,751093;;31,3040184;51,5484659;254,25
;31,304384;51,54842;279,071042;;31,3044189;51,5484213;267,0100098
;31,304853;51,548386;290,26187;;31,3049067;51,5483726;280,45001
;31,3051;51,548375;291,864357;;31,3051119;51,5483493;285,5400085
;31,305347;51,548359;296,610779;;31,3053245;51,5483278;289,7099915
;31,305551;51,548339;299,513978;;31,3055601;51,5483937;291,8900146
;31,305936;51,5482;300,981176;;31,3059185;51,548173;294,4100036
;31,306081;51,54812;305,152511;;31,3060594;51,5481398;295,8599853
;31,306882;51,54822;317,920301;;31,306956;51,5481977;307,6099854
;31,307424;51,548246;328,854254;;31,3074994;51,5483088;319,6700134
;31,307884;51,548345;335,984231;;31,3080107;51,5484302;327,6900024
;31,308509;51,548578;340,496951;;31,3085175;51,5485632;332
;31,30886;51,548665;339,940492;;31,3089064;51,5486643;331,269989
;31,309384;51,548765;338,99006;;31,3094241;51,5487951;329,0599976
;31,309867;51,5489;338,789265;;31,3099306;51,548932;329,4299927
;31,310321;51,549038;337,29701;;31,3104071;51,5490676;328,5599976
;31,310758;51,54916;338,400085;;31,3108624;51,5491987;329,0799866
;31,311186;51,549304;343,247874;;31,311199;51,5493024;332,4700012
;31,311624;51,549383;344,911984;;31,3116339;51,5494222;335,9299927
;31,312026;51,549578;352,796901;;31,3120914;51,5495279;338,6700134
;31,312544;51,549573;352,5044;;31,3125537;51,5496414;341,5
;31,313397;51,549821;358,112143;;31,3133941;51,5498483;347,8500061
;31,314382;51,549912;359,265184;;31,3143604;51,5500957;355,5400085
;31,315202;51,550317;369,039038;;31,3152072;51,550319;358,0299988
;31,315654;51,550408;370,240422;;31,3156627;51,5504356;359,6499939
;31,316535;51,550668;369,392313;;31,3165684;51,5506758;361,25
;31,317483;51,55082;372,305917;;31,3174797;51,5509165;364,6799927
;31,318258;51,551065;381,648658;;31,3182613;51,5511274;371,4299927
;31,319066;51,551564;377,827864;;31,319062;51,551566;376,1600037
;31,31951;51,552183;402,001413;;31,3195188;51,5521294;384,5499878
;31,319997;51,552683;403,127259;;31,3199616;51,5527831;393,8299866
;31,320345;51,553259;412,858227;;31,3203641;51,5533622;402,6600037
;31,320584;51,553691;415,509532;;31,3205974;51,5537101;409,8099976
;31,321044;51,554454;430,119158;;31,3210464;51,5544063;424,3200073
;31,321446;51,55497;446,763368;;31,3214225;51,5550402;435,1700134
;31,322229;51,555464;448,459341;;31,3222245;51,5554568;442,519989
;31,323043;51,555301;457,912011;;31,3230675;51,5553117;443,8900146
;31,323826;51,555106;451,470298;;31,3238373;51,5551775;441,0899963
;31,324741;51,555006;449,057231;;31,3247939;51,5551039;439,8299866
;31,325794;51,5550906;442,414297;;31,3257905;51,5550986;437,1700134
;31,326649;51,555096;449,040415;;31,3266483;51,5550988;434,9100037
;31,327701;51,55509;438,887882;;31,327759;51,5550928;438,0100098
;31,328413;51,55501;455,782721;;31,3284897;51,5550869;440,6700134
;31,329446;51,555094;462,225883;;31,3294753;51,5550839;441,5499878
;31,330337;51,555101;450,950814;;31,3303368;51,5551069;442,230011
;31,331209;51,555046;461,198257;;31,3313153;51,5550951;443,1099854
;31,332269;51,555265;447,072354;;31,3322608;51,5552498;441,0799866
;31,332729;51,555829;461,285792;;31,3327995;51,5558252;441,8399963
;31,33321;51,556578;456,029833;;31,3332169;51,5565833;438,6700134
;31,333677;51,557248;433,344163;;31,3336766;51,557222;436,7799988
;31,334268;51,557914;447,977642;;31,3342696;51,5579134;437,3900146
;31,334796;51,558394;458,54631;;31,3347964;51,558509;441,1700134
;31,335378;51,559141;447,738099;;31,3353774;51,559159;441,8999939
;31,335978;51,559752;454,678839;;31,33597;51,5597902;441,2099915
;31,336418;51,560303;454,601463;;31,3364276;51,5603922;439,9700012
;31,335982;51,561256;465,495874;;31,3359747;51,5612679;435,5799866
;31,334733;51,561577;457,147895;;31,3347325;51,5615259;437,7900085
;31,332574;51,561571;475,275776;;31,3325705;51,561515;442,6900024
;31,331335;51,561899;446,367646;;31,3313267;51,5618106;442,0599976
;31,330655;51,561908;456,905973;;31,3306554;51,5620108;441,3200073
;31,329958;51,562154;459,635667;;31,3299822;51,5622176;440,1300049
;31,328818;51,562671;451,288728;;31,3288087;51,5625934;439,8999939
;31,327776;51,562616;449,480476;;31,3278056;51,5629163;442,0899963
;31,327216;51,563824;461,232792;;31,3272142;51,5637821;439,769989
;31,327948;51,564139;458,331442;;31,3279671;51,5642372;441,9899902
;31,328898;51,564438;450,255226;;31,328821;51,5645118;441,4299927
;31,329757;51,565202;460,325269;;31,3297931;51,5652853;440,9400024
;31,330326;51,565891;456,590729;;31,3303068;51,5659457;439,7000122
;31,330771;51,566412;454,151957;;31,3307757;51,5665515;436,5899963
;31,331287;51,567168;461,896381;;31,3312873;51,5672016;438,5599976
;31,331746;51,567755;457,234596;;31,3317381;51,5677459;437,2900085
;31,332298;51,568268;455,080036;;31,3322977;51,5683607;437,9200134
;31,332833;51,56906;462,020816;;31,3328373;51,5690029;439,2099915
;31,333337;51,569563;457,260532;;31,3333109;51,5695735;439,3699951
