Дані для перерахунку координат;;;;
Градуси;;;;
Широта;Довгота;Висота;Відстань, м;Азимут, град
51,26609269;31,90034334;168,8;258;10
51,26609269;31,90034334;168,8;364;20
51,27528333;31,87943333;166;470;30
51,22690083;30,82680778;168,9;576;40
51,22745278;30,82553861;166,1;682;50
51,52745278;30,82553861;168,1;788;60
51,22745278;30,82553861;166,2;894;70
51,22745278;30,82553861;168,11;1000;80
51,24412056;30,82553861;166,3;1106;90
51,22745278;30,82553861;168,12;1212;100
51,22745281;30,82553861;166,4;1318;110
51,22745278;30,82553861;168,13;1424;120
51,22745278;30,82553874;166,5;1530;130
51,22745278;30,82553883;168,14;1636;140
51,22745278;30,82553865;166,6;1742;150
